"blk_no","street","max_floor_lvl","year_completed","residential","commercial","market_hawker","miscellaneous","multistorey_carpark","precinct_pavilion","bldg_contract_town","total_dwelling_units","X1room_sold","X2room_sold","X3room_sold","X4room_sold","X5room_sold","exec_sold","multigen_sold","studio_apartment_sold","X1room_rental","X2room_rental","X3room_rental","other_room_rental","postal","address","dist_to_park_centroid","dist_to_park_boundary","park_area","park_length","park_name","diff_boundary_centroid","SVY21_X","SVY21_Y","longitude","latitude"
"1","GHIM MOH RD",15,1975,"Y","N","N","Y","N","N","QT",220,0,0,216,0,4,0,0,0,0,0,0,0,"270001","1 GHIM MOH ROAD NKF DIALYSIS CENTRE SINGAPORE 270001",169.543630587752,169.543630587752,754248.054094825,43075.7152539655,"RAIL CORRIDOR",0,22845.7621208809,32802.7599273226,103.7870052,1.312930595
"1","HAIG RD",15,1976,"Y","N","N","Y","N","N","GL",219,0,0,213,0,5,0,0,0,0,0,1,0,"430001","1 HAIG ROAD MY FIRST SKOOL SINGAPORE 430001",66.7158210553395,66.7158210553395,1504.845564,542.631674331928,"HAIG WALK EXTENSION",0,35165.422571346,32621.4972044851,103.8977034,1.311290918
"1","HOLLAND CL",13,1973,"Y","N","N","Y","N","N","QT",319,0,0,0,0,0,0,0,0,319,0,0,0,"271001","1 HOLLAND CLOSE SINGAPORE 271001",246.252739610553,246.252739610553,2737.99468405,252.555928110791,"HOLLAND VILLAGE PK",0,23928.3009811037,32392.3746029413,103.7967324,1.309219378
"1","HOUGANG AVE 3",14,1974,"Y","N","N","Y","N","N","HG",204,0,0,200,0,4,0,0,0,0,0,0,0,"530001","1 HOUGANG AVENUE 3 SINGAPORE 530001",321.012590597771,321.012590597771,9512.47266465,913.015912360296,"REALTY PARK",0,34641.9809964416,38464.2702240393,103.8930013,1.364130973
"1","JLN KUKOH",17,1969,"Y","N","Y","Y","N","N","CT",84,0,0,0,0,0,0,0,0,0,56,14,14,"161001","1 JALAN KUKOH HAWKER CENTRE (BLK 1 JALAN KUKOH) SINGAPORE 161001",171.816140210714,171.816140210714,84315.97281561,2520.44646433725,"PEARL'S HILL CITY PK",0,28736.2626374508,30071.5608166674,103.8399342,1.288231015
"1","JLN BT MERAH",14,1974,"Y","Y","N","N","N","N","BM",244,0,0,243,0,0,0,0,0,0,0,1,0,"150001","1 JALAN BUKIT MERAH BRICKWORKS ESTATE SINGAPORE 150001",251.937266055736,251.937266055736,754248.054094825,43075.7152539655,"RAIL CORRIDOR",0,25209.2312932304,29875.0295853153,103.8082424,1.28645354
"1","JOO CHIAT RD",5,1984,"N","Y","N","N","N","N","GL",0,0,0,0,0,0,0,0,0,0,0,0,0,"420001","1 JOO CHIAT ROAD JOO CHIAT COMPLEX SINGAPORE 420001",378.203953330666,378.203953330666,1371.89998925,162.159340966332,"JOO CHIAT TERRACE PK",0,35240.4971464329,33128.5533178703,103.8983781,1.315876534
"1","KEMPAS RD",1,2025,"N","N","N","N","N","Y","KWN",0,0,0,0,0,0,0,0,0,0,0,0,0,"330001","1 KEMPAS ROAD KEMPAS RESIDENCES SINGAPORE 330001",453.536474262835,453.536474262835,6717.76843165,333.929846630138,"SOMME RD PG",0,30881.3868189399,33144.1995185681,103.8592093,1.316018751
"1","KG KAYU RD",10,1963,"Y","N","N","N","N","N","KWN",107,0,0,106,1,0,0,0,0,0,0,0,0,"431001","1 KAMPONG KAYU ROAD DI TANJONG RHU SINGAPORE 431001",205.915622023106,205.915622023106,4524.619468195,378.17029159494,"MT BATTEN RD/OLD AIRPORT RD OS",0,33617.7215216834,31766.3615956487,103.8837964,1.303557697
"1","LOR 7 TOA PAYOH",11,1968,"Y","N","N","N","N","N","TP",196,0,0,194,0,2,0,0,0,0,0,0,0,"310001","1 LORONG 7 TOA PAYOH KIM KEAT COURT SINGAPORE 310001",1028.8173425142,1028.8173425142,45692.560453355,985.39407879071,"TOA PAYOH TOWN PK",0,30239.6100590583,35732.9266677907,103.8534428,1.339430335
"1","LOR LEW LIAN",14,1977,"Y","N","N","Y","N","N","SGN",179,0,0,174,0,3,0,0,0,0,0,2,0,"531001","1 LORONG LEW LIAN LEW LIAN GARDENS SINGAPORE 531001",74.5039707968851,74.5039707968851,456.82678809,89.1929225965918,"UPPER SERANGOON PARK",0,32676.9462585576,36997.5797759145,103.8753439,1.350867126
"1","MARINE TER",25,1974,"Y","Y","N","N","N","N","MP",96,0,0,0,0,96,0,0,0,0,0,0,0,"440001","1 MARINE TERRACE MARINE TERRACE WALK SINGAPORE 440001",150.744651966711,150.744651966711,326673.305892075,4233.00710248764,"EAST COAST PARK AREA C",0,37492.7119771867,31907.0427515257,103.918615,1.304829022
"1","MARSILING DR",11,1973,"Y","N","N","Y","N","N","WL",159,0,0,158,0,1,0,0,0,0,0,0,0,"730001","1 MARSILING DRIVE SIAN CHAY MEDICAL INSTITUTION MARSILING BRANCH SINGAPORE 730001",457.717445702275,457.717445702275,61142.390623865,1029.55910103249,"WOODLANDS TOWN PK EAST",0,21634.6593585592,46928.6081821588,103.7761198,1.440679423
"1","MAUDE RD",14,1970,"Y","Y","N","Y","N","N","KWN",176,0,0,0,0,0,0,0,0,0,176,0,0,"200001","1 MAUDE ROAD D'JOY CHILDREN'S CENTRE SINGAPORE 200001",391.999377321158,391.999377321158,6717.76843165,333.929846630138,"SOMME RD PG",0,30860.2957888355,32207.1073628305,103.8590197,1.307544023
"1","PINE CL",19,1998,"Y","N","N","N","N","N","GL",156,0,0,0,100,56,0,0,0,0,0,0,0,"390001","1 PINE CLOSE SINGAPORE 390001",177.523309547111,177.523309547111,4524.619468195,378.17029159494,"MT BATTEN RD/OLD AIRPORT RD OS",0,33550.4700932346,32243.25484867,103.8831922,1.307870562
"1","PUNGGOL DR",6,2022,"N","N","N","Y","N","N","PG",0,0,0,0,0,0,0,0,0,0,0,0,0,"828629","1 PUNGGOL DRIVE NKF DIALYSIS CENTRE ONE PUNGGOL SINGAPORE 828629",129.318781718681,129.318781718681,135382.706657445,4464.52861968091,"PUNGGOL WATERWAY PK",0,35994.4616645872,43404.0339202074,103.9051556,1.408804056
"1","QUEEN'S RD",23,1974,"Y","N","N","N","N","N","BT",88,0,0,0,0,88,0,0,0,0,0,0,0,"260001","1 QUEEN'S ROAD FARRER GARDENS SINGAPORE 260001",173.53980142451,173.53980142451,3515.536496115,278.449009413901,"KING'S RD PARK",0,25046.8370280293,33282.1473278812,103.8067829,1.317266295
"1","ST. GEORGE'S RD",12,1975,"Y","N","N","Y","N","N","KWN",154,0,0,0,154,0,0,0,0,0,0,0,0,"320001","1 SAINT GEORGE'S ROAD SINGAPORE 320001",392.684816555306,392.684816555306,3701.20168189,366.125435141559,"BENG WAN RD PG",0,31150.867082216,33960.6747408248,103.8616308,1.323402637
"1","TAMPINES WALK",7,2016,"N","N","N","Y","N","N","TAP",0,0,0,0,0,0,0,0,0,0,0,0,0,"528523","1 TAMPINES WALK NORTH EAST COMMUNITY DEVELOPMENT COUNCIL SINGAPORE 528523",555.990956941549,555.990956941549,98774.75418758,1610.03711865,"SUN PLAZA PK",0,39894.4639912574,37224.3426506634,103.9401979,1.352915886
"1","TECK WHYE AVE",13,1983,"Y","N","N","N","N","N","CCK",118,0,0,68,48,0,2,0,0,0,0,0,0,"680001","1 TECK WHYE AVENUE TECK WHYE HEIGHTS I SINGAPORE 680001",508.152922090824,508.152922090824,98946.84550627,2811.71886552924,"CHOA CHU KANG PK",0,18918.098576755,40499.7911056918,103.7517109,1.382538829
"1","TELOK BLANGAH CRES",16,1973,"Y","Y","N","N","N","N","BM",148,0,0,146,0,2,0,0,0,0,0,0,0,"90001","1 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090001",102.62393496236,102.62393496236,754248.054094825,43075.7152539655,"RAIL CORRIDOR",0,26283.7695443323,29101.3356675803,103.8178976,1.279456601
"1","TG PAGAR PLAZA",24,1976,"Y","Y","N","Y","N","N","CT",163,0,0,158,0,5,0,0,0,0,0,0,0,"82001","1 TANJONG PAGAR PLAZA MULBERRY LEARNING CENTRE@TANJONG PAGAR PTE. LTD SINGAPORE 082001",109.753761340219,109.753761340219,13563.793288205,1383.29828095433,"DUXTON PLAIN PK",0,29009.9334862672,28674.4688785323,103.8423932,1.275596198
"1","THOMSON RD",4,1977,"Y","Y","N","N","N","N","KWN",8,0,0,0,0,0,0,0,0,0,0,8,0,"300001","1 THOMSON ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 300001",57.7144269807799,57.7144269807799,2162.6077944,255.44242523055,"NOVENA RISE PK",0,29029.767761428,34203.183774025,103.8425716,1.325595948
"1","TOH YI DR",13,1987,"Y","N","N","Y","N","N","BT",132,0,0,0,72,60,0,0,0,0,0,0,0,"591501","1 TOH YI DRIVE NEIGHBOURHOOD POLICE POST BUKIT TIMAH SINGAPORE 591501",462.551938418484,462.551938418484,3725.707947005,280.098356238657,"HOOVER PARK (LOR PISANG HIJAU PLAYGROUND)",0,21463.726363901,35749.7174208173,103.7745863,1.339581559
"1","UPP ALJUNIED LANE",1,2003,"N","Y","Y","N","N","N","TP",0,0,0,0,0,0,0,0,0,0,0,0,0,"360001","1 UPPER ALJUNIED LANE SINGAPORE 360001",81.1917943008771,81.1917943008771,3962.881986385,479.582186137889,"OASIS@MULBERRY PK",0,33055.6181506581,35164.8402330818,103.8787462,1.334292424
