blk_no,street,postal,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,X1room_sold,X2room_sold,X3room_sold,X4room_sold,X5room_sold,exec_sold,multigen_sold,studio_apartment_sold,X1room_rental,X2room_rental,X3room_rental,other_room_rental,address,dist_to_park_centroid,dist_to_park_boundary,diff_boundary_centroid,park_area,park_length,park_name,SVY21_X,SVY21_Y,Longitude,Latitude
1,MARSILING DR,730001,11,1973,Y,N,N,Y,N,N,WL,159,0,0,158,0,1,0,0,0,0,0,0,0,1 MARSILING DRIVE SIAN CHAY MEDICAL INSTITUTION MARSILING BRANCH SINGAPORE 730001,457.7201499,457.7211367,0.000986782,61142.39062,1029.559101,WOODLANDS TOWN PK EAST,21634.65462,46928.60814,103.7761198,1.440679423
1,MAUDE RD,200001,14,1970,Y,Y,N,Y,N,N,KWN,176,0,0,0,0,0,0,0,0,0,176,0,0,1 MAUDE ROAD D'JOY CHILDREN'S CENTRE SINGAPORE 200001,391.9996101,392.0010992,0.001489139,6717.768432,333.9298466,SOMME RD PG,30860.29674,32207.10736,103.8590197,1.307544023
1,PINE CL,390001,19,1998,Y,N,N,N,N,N,GL,156,0,0,0,100,56,0,0,0,0,0,0,0,1 PINE CLOSE SINGAPORE 390001,177.523157,177.5281899,0.005032924,4524.619468,378.1702916,MT BATTEN RD/OLD AIRPORT RD OS,33550.46619,32243.25487,103.8831922,1.307870562
1,QUEEN'S RD,260001,23,1974,Y,N,N,N,N,N,BT,88,0,0,0,0,88,0,0,0,0,0,0,0,1 QUEEN'S ROAD FARRER GARDENS SINGAPORE 260001,180.9052336,180.9119192,0.006685622,2085.841835,195.3876017,KING'S DR PG,25046.83453,33282.14735,103.8067829,1.317266295
1,ST. GEORGE'S RD,320001,12,1975,Y,N,N,Y,N,N,KWN,154,0,0,0,154,0,0,0,0,0,0,0,0,1 SAINT GEORGE'S ROAD SINGAPORE 320001,392.684724,392.6891336,0.004409602,3701.201682,366.1254351,BENG WAN RD PG,31150.86717,33960.67473,103.8616308,1.323402637
1,TECK WHYE AVE,680001,13,1983,Y,N,N,N,N,N,CCK,118,0,0,68,48,0,2,0,0,0,0,0,0,1 TECK WHYE AVENUE TECK WHYE HEIGHTS I SINGAPORE 680001,508.1534654,508.1528126,-0.000652831,100938.9012,2454.549049,CHOA CHU KANG PK,18918.09921,40499.79106,103.7517109,1.382538829
1,TELOK BLANGAH CRES,90001,16,1973,Y,Y,N,N,N,N,BM,148,0,0,146,0,2,0,0,0,0,0,0,0,1 TELOK BLANGAH CRESCENT MOUNT FABER GREEN SINGAPORE 090001,102.6262009,102.6246724,-0.001528517,754248.0541,43075.71525,RAIL CORRIDOR,26283.76531,29101.33564,103.8178976,1.279456601
1,TG PAGAR PLAZA,82001,24,1976,Y,Y,N,Y,N,N,CT,163,0,0,158,0,5,0,0,0,0,0,0,0,1 TANJONG PAGAR PLAZA MULBERRY LEARNING CENTRE@TANJONG PAGAR PTE. LTD SINGAPORE 082001,109.7530524,109.7526497,-0.000402652,13563.79329,1383.298281,DUXTON PLAIN PK,29009.9303,28674.4689,103.8423932,1.275596198
1,THOMSON RD,300001,4,1977,Y,Y,N,N,N,N,KWN,8,0,0,0,0,0,0,0,0,0,0,8,0,1 THOMSON ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 300001,57.71321851,57.71323124,1.27E-05,2162.607794,255.4424252,NOVENA RISE PK,29029.7692,34203.18382,103.8425716,1.325595948
1,TOH YI DR,591501,13,1987,Y,N,N,Y,N,N,BT,132,0,0,0,72,60,0,0,0,0,0,0,0,1 TOH YI DRIVE NEIGHBOURHOOD POLICE POST BUKIT TIMAH SINGAPORE 591501,462.5525543,462.5530658,0.000511461,3725.707947,280.0983562,HOOVER PARK (LOR PISANG HIJAU PLAYGROUND),21463.72847,35749.7174,103.7745863,1.339581559
1A,CANTONMENT RD,85101,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1A CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085101,61.17862179,61.18020942,0.001587625,13563.79329,1383.298281,DUXTON PLAIN PK,28851.08819,28922.87609,103.8409659,1.27784271
1A,EUNOS CRES,401001,2,1981,Y,Y,N,N,N,N,GL,2,0,0,0,0,0,0,0,0,0,0,2,0,1A EUNOS CRESCENT SINGAPORE 401001,296.9333639,296.9353225,0.001958613,1033.386288,155.746269,JLN YASIN INTERIM PK,35724.56119,33727.19377,103.9027278,1.321290305
1B,CANTONMENT RD,85201,50,2009,Y,N,N,N,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1B CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085201,25.06450879,25.06748859,0.002979804,13563.79329,1383.298281,DUXTON PLAIN PK,28899.7792,28918.08794,103.8414034,1.277799407
1C,CANTONMENT RD,85301,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1C CANTONMENT ROAD THE PINNACLE@DUXTON SINGAPORE 085301,26.54820064,26.54591216,-0.00228848,13563.79329,1383.298281,DUXTON PLAIN PK,28929.07685,28879.35225,103.8416667,1.277449094
1D,CANTONMENT RD,85401,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1D CANTONMENT ROAD THE KIDZ ZONE PTE LTD SINGAPORE 085401,46.18814533,46.18282354,-0.005321793,13563.79329,1383.298281,DUXTON PLAIN PK,28908.94529,28820.87459,103.8414858,1.276920243
1E,CANTONMENT RD,85501,50,2009,Y,N,N,Y,N,N,CT,264,0,0,0,176,88,0,0,0,0,0,0,0,1E CANTONMENT ROAD PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR-TIONG BAHRU BLK 1E (KN) SINGAPORE 085501,83.8239507,83.82378965,-0.000161055,13563.79329,1383.298281,DUXTON PLAIN PK,28872.2584,28787.86139,103.8411561,1.276621684
